point,target_x_m,target_y_m,target_z_m,press_flag,q1_rad,q2_rad,q3_rad,q4_m,q1_deg,q2_deg,q3_deg,fk_x_m,fk_y_m,fk_z_m,position_error_m,r_wrist_m,z_wrist_m,elbow_z_m,D
home,0.38,0,0.28,0,0,1.60749251715363,-1.98231317286238,0,0,92.1025368317641,-113.578178478202,0.38,0,0.28,0,0.27,0.29,0.399831692589958,-0.4
ink_above,0.38,0.18,0.08,0,0.442374222976745,0.903578547477269,-1.92840089802568,0,25.3461759419467,51.7712372290088,-110.48923266611,0.38,0.18,0.08,2.77555756156289e-17,0.310475920832573,0.09,0.346386587506473,-0.35003135055444
ink_press,0.38,0.18,0.02,0.06,0.442374222976745,0.903578547477269,-1.92840089802568,0.06,25.3461759419467,51.7712372290088,-110.48923266611,0.38,0.18,0.02,2.42861286636753e-17,0.310475920832573,0.09,0.346386587506473,-0.35003135055444
ink_above,0.38,0.18,0.08,0,0.442374222976745,0.903578547477269,-1.92840089802568,0,25.3461759419467,51.7712372290088,-110.48923266611,0.38,0.18,0.08,2.77555756156289e-17,0.310475920832573,0.09,0.346386587506473,-0.35003135055444
paper_above_1,0.28,-0.02,0.06,0,-0.0713074647852903,1.04713655317671,-2.46500357175615,0,-4.08561677997488,59.9965050709018,-141.234301146301,0.28,-0.02,0.0599999999999999,4.86960085019993e-17,0.170713376952364,0.07,0.366498725790845,-0.779712952863467
paper_press_1,0.28,-0.02,0,0.06,-0.0713074647852903,1.04713655317671,-2.46500357175615,0.06,-4.08561677997488,59.9965050709018,-141.234301146301,0.28,-0.02,-4.16333634234434e-17,4.17776736080521e-17,0.170713376952364,0.07,0.366498725790845,-0.779712952863467
paper_above_1,0.28,-0.02,0.06,0,-0.0713074647852903,1.04713655317671,-2.46500357175615,0,-4.08561677997488,59.9965050709018,-141.234301146301,0.28,-0.02,0.0599999999999999,4.86960085019993e-17,0.170713376952364,0.07,0.366498725790845,-0.779712952863467
paper_above_2,0.42,-0.18,0.06,0,-0.404891786285083,0.752648636792728,-1.74317004084589,0,-23.1985905136482,43.1235903444981,-99.8762863141166,0.42,-0.18,0.0600000000000001,8.35553472161042e-17,0.346946386351835,0.07,0.320893586218861,-0.171521366649357
paper_press_2,0.42,-0.18,0,0.06,-0.404891786285083,0.752648636792728,-1.74317004084589,0.06,-23.1985905136482,43.1235903444981,-99.8762863141166,0.42,-0.18,6.93889390390723e-17,8.88611994741668e-17,0.346946386351835,0.07,0.320893586218861,-0.171521366649357
paper_above_2,0.42,-0.18,0.06,0,-0.404891786285083,0.752648636792728,-1.74317004084589,0,-23.1985905136482,43.1235903444981,-99.8762863141166,0.42,-0.18,0.0600000000000001,8.35553472161042e-17,0.346946386351835,0.07,0.320893586218861,-0.171521366649357
home,0.38,0,0.28,0,0,1.60749251715363,-1.98231317286238,0,0,92.1025368317641,-113.578178478202,0.38,0,0.28,0,0.27,0.29,0.399831692589958,-0.4
