sample,time_s,ref_q1,ref_q2,ref_q3,ref_q4,actual_q1,actual_q2,actual_q3,actual_q4,ref_joint_1,ref_joint_2,ref_joint_3,ref_joint_4,ref_joint_5,actual_joint_1,actual_joint_2,actual_joint_3,actual_joint_4,actual_joint_5
1,0,0,1.60749251715363,-1.98231317286238,0,0,1.60749251715363,-1.98231317286238,0,0,-1.60749251715363,1.98231317286238,-0.374820655708754,0,0,-1.60749251715363,1.98231317286238,-0.374820655708754,0
2,0.02,4.35765152085472e-06,1.60748558317868,-1.98231264179413,0,0,1.60749251715363,-1.98231317286238,0,4.35765152085472e-06,-1.60748558317868,1.98231264179413,-0.374827058615449,0,0,-1.60749251715363,1.98231317286238,-0.374820655708754,0
3,0.04,3.43367332880766e-05,1.60743787991444,-1.98230898823474,0,5.37715777210828e-06,1.60748396092165,-1.98231251754661,0,3.43367332880766e-05,-1.60743787991444,1.98230898823474,-0.374871108320306,0,5.37715777210828e-06,-1.60748396092165,1.98231251754661,-0.374828556624955,0
4,0.06,0.000114130691556264,1.60731091030589,-1.98229926372191,0,3.01549332358615e-05,1.60744453407131,-1.98230949787193,0,0.000114130691556264,-1.60731091030589,1.98229926372191,-0.374988353416016,0,3.01549332358615e-05,-1.60744453407131,1.98230949787193,-0.374864963800621,0
5,0.08,0.000266404127265407,1.60706861002473,-1.98228070611414,0,9.33334587380021e-05,1.60734400324384,-1.9823017982867,0,0.000266404127265407,-1.60706861002473,1.98228070611414,-0.375212096089411,0,9.33334587380021e-05,-1.60734400324384,1.9823017982867,-0.374957795042861,0
6,0.1,0.000512324646984943,1.6066772967875,-1.98225073570909,0,0.000216440280888293,1.60714811341262,-1.98228679522259,0,0.000512324646984943,-1.6066772967875,1.98225073570909,-0.37557343892159,0,0.000216440280888293,-1.60714811341262,1.98228679522259,-0.375138681809964,0
7,0.12,0.00087159471385781,1.60610561967382,-1.98220695136186,0,0.000421912569693288,1.6068211621416,-1.98226175425517,0,0.00087159471385781,-1.60610561967382,1.98220695136186,-0.376101331688038,0,0.000421912569693288,-1.6068211621416,1.98226175425517,-0.375440592113568,0
8,0.14,0.0013624834985445,1.60532450844457,-1.98214712660332,0,0.000732044193741278,1.60632767501855,-1.98222395842421,0,0.0013624834985445,-1.60532450844457,1.98214712660332,-0.376822618158749,0,0.000732044193741278,-1.60632767501855,1.98222395842421,-0.375896283405656,0
9,0.16,0.00200185873016712,1.60430712286008,-1.98206920575843,0,0.00116831510604832,1.60563347274865,-1.98217078996161,0,0.00200185873016712,-1.60430712286008,1.98206920575843,-0.377762082898346,0,0.00116831510604832,-1.60563347274865,1.98217078996161,-0.376537317212962,0
10,0.18,0.00280521854725344,1.60302880199835,-1.98197130006456,0,0.00175097821490483,1.60470632853311,-1.98209978063957,0,0.00280521854725344,-1.60302880199835,1.98197130006456,-0.378942498066206,0,0.00175097821490483,-1.60470632853311,1.98209978063957,-0.377393452106467,0
