sample,time_s,model_q1,model_q2,model_q3,model_q4,joint_1,joint_2,joint_3,joint_4,joint_5
1,0,0,1.60749251715363,-1.98231317286238,0,0,-1.60749251715363,1.98231317286238,-0.374820655708754,0
2,0.02,4.35765152085472e-06,1.60748558317868,-1.98231264179413,0,4.35765152085472e-06,-1.60748558317868,1.98231264179413,-0.374827058615449,0
3,0.04,3.43367332880766e-05,1.60743787991444,-1.98230898823474,0,3.43367332880766e-05,-1.60743787991444,1.98230898823474,-0.374871108320306,0
4,0.06,0.000114130691556264,1.60731091030589,-1.98229926372191,0,0.000114130691556264,-1.60731091030589,1.98229926372191,-0.374988353416016,0
5,0.08,0.000266404127265407,1.60706861002473,-1.98228070611414,0,0.000266404127265407,-1.60706861002473,1.98228070611414,-0.375212096089411,0
6,0.1,0.000512324646984943,1.6066772967875,-1.98225073570909,0,0.000512324646984943,-1.6066772967875,1.98225073570909,-0.37557343892159,0
7,0.12,0.00087159471385781,1.60610561967382,-1.98220695136186,0,0.00087159471385781,-1.60610561967382,1.98220695136186,-0.376101331688038,0
8,0.14,0.0013624834985445,1.60532450844457,-1.98214712660332,0,0.0013624834985445,-1.60532450844457,1.98214712660332,-0.376822618158749,0
9,0.16,0.00200185873016712,1.60430712286008,-1.98206920575843,0,0.00200185873016712,-1.60430712286008,1.98206920575843,-0.377762082898346,0
10,0.18,0.00280521854725344,1.60302880199835,-1.98197130006456,0,0.00280521854725344,-1.60302880199835,1.98197130006456,-0.378942498066206,0
11,0.2,0.00378672334868094,1.6014670135732,-1.98185168378978,0,0.00378672334868094,-1.6014670135732,1.98185168378978,-0.380384670216582,0
12,0.22,0.00495922764462087,1.5996013032525,-1.98170879035123,0,0.00495922764462087,-1.5996013032525,1.98170879035123,-0.382107487098721,0
13,0.24,0.00633431190748233,1.59741324397636,-1.98154120843336,0,0.00633431190748233,-1.59741324397636,1.98154120843336,-0.384127964456992,0
14,0.26,0.00792231442285629,1.5948863852753,-1.98134767810631,0,0.00792231442285629,-1.5948863852753,1.98134767810631,-0.386461292831003,0
15,0.28,0.00973236314045963,1.59200620258848,-1.9811270869442,0,0.00973236314045963,-1.59200620258848,1.9811270869442,-0.389120884355726,0
16,0.3,0.0117724075250793,1.58876004658185,-1.98087846614346,0,0.0117724075250793,-1.58876004658185,1.98087846614346,-0.392118419561615,0
17,0.32,0.0140492504075161,1.58513709246639,-1.98060098664113,0,0.0140492504075161,-1.58513709246639,1.98060098664113,-0.395463894174736,0
18,0.34,0.0165685798355292,1.58112828931629,-1.98029395523317,0,0.0165685798355292,-1.58112828931629,1.98029395523317,-0.399165665916879,0
19,0.36,0.0193350009247798,1.5767263093871,-1.97995681069279,0,0.0193350009247798,-1.5767263093871,1.97995681069279,-0.403230501305689,0
20,0.38,0.0223520677097752,1.57192549743402,-1.9795891198888,0,0.0223520677097752,-1.57192549743402,1.9795891198888,-0.407663622454781,0
21,0.4,0.0256223149948131,1.56672182002998,-1.97919057390384,0,0.0256223149948131,-1.56672182002998,1.97919057390384,-0.412468753873867,0
22,0.42,0.0291472902049254,1.56111281488392,-1.97876098415279,0,0.0291472902049254,-1.56111281488392,1.97876098415279,-0.417648169268876,0
23,0.44,0.0329275852368226,1.55509754015894,-1.97830027850102,0,0.0329275852368226,-1.55509754015894,1.97830027850102,-0.423202738342075,0
24,0.46,0.0369628683098373,1.54867652379054,-1.97780849738273,0,0.0369628683098373,-1.54867652379054,1.97780849738273,-0.429131973592193,0
25,0.48,0.0412519158168689,1.54185171280474,-1.97728578991929,0,0.0412519158168689,-1.54185171280474,1.97728578991929,-0.435434077114543,0
26,0.5,0.0457926441753271,1.53462642263635,-1.97673241003749,0,0.0457926441753271,-1.53462642263635,1.97673241003749,-0.442105987401141,0
27,0.52,0.0505821416780763,1.52700528644711,-1.97614871258794,0,0.0505821416780763,-1.52700528644711,1.97614871258794,-0.449143426140832,0
28,0.54,0.0556167003443794,1.51899420444392,-1.97553514946333,0,0.0556167003443794,-1.51899420444392,1.97553514946333,-0.45654094501941,0
29,0.56,0.0608918477708422,1.510600293197,-1.97489226571674,0,0.0608918477708422,-1.510600293197,1.97489226571674,-0.46429197251974,0
30,0.58,0.0664023789823572,1.50183183495813,-1.97422069568002,0,0.0664023789823572,-1.50183183495813,1.97422069568002,-0.472388860721881,0
31,0.6,0.0721423882830475,1.49269822697881,-1.97352115908202,0,0.0721423882830475,-1.49269822697881,1.97352115908202,-0.480822932103206,0
32,0.62,0.0781053011072115,1.48320993082844,-1.97279445716697,0,0.0781053011072115,-1.48320993082844,1.97279445716697,-0.489584526338527,0
33,0.64,0.0842839058702659,1.47337842171257,-1.97204146881279,0,0.0842839058702659,-1.47337842171257,1.97204146881279,-0.498663047100215,0
34,0.66,0.0906703858196909,1.46321613779104,-1.97126314664936,0,0.0906703858196909,-1.46321613779104,1.97126314664936,-0.508047008858321,0
35,0.68,0.0972563508859735,1.45273642949619,-1.97046051317689,0,0.0972563508859735,-1.45273642949619,1.97046051317689,-0.517724083680701,0
36,0.7,0.104032869533552,1.44195350885107,-1.96963465688421,0,0.104032869533552,-1.44195350885107,1.96963465688421,-0.527681148033138,0
37,0.72,0.110990500611759,1.43088239878763,-1.96878672836709,0,0.110990500611759,-1.43088239878763,1.96878672836709,-0.537904329579458,0
38,0.74,0.118119325205767,1.41953888246489,-1.96791793644656,0,0.118119325205767,-1.41953888246489,1.96791793644656,-0.548379053981662,0
39,0.76,0.125408978487533,1.40793945258717,-1.96702954428721,0,0.125408978487533,-1.40793945258717,1.96702954428721,-0.559090091700037,0
